epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,229.929,1.87304,3.59822,2.0494,0.00657,0.70026,0.07969,0.02687,2.03717,4.34963,2.49216,0.000463798,0.000463798,0.000463798
2,463.91,1.85268,3.22989,2.03715,0.09462,0.03308,0.04743,0.01499,2.26653,4.2342,2.94226,0.000921517,0.000921517,0.000921517
3,695.623,1.82638,3.0664,2.04062,0.55381,0.08559,0.02921,0.00713,2.67629,8.7529,4.10482,0.00136037,0.00136037,0.00136037
4,926.431,1.88182,3.06231,2.08895,0.03933,0.08945,0.0223,0.00555,2.98122,5.31694,3.43336,0.00134412,0.00134412,0.00134412
5,1162.19,1.87053,2.98163,2.04947,0.12321,0.1879,0.05339,0.01343,2.58014,12.2756,3.3699,0.00131582,0.00131582,0.00131582
6,1398.12,1.89454,2.88681,2.06527,0.27991,0.15483,0.09046,0.03706,2.39353,4.34724,2.79156,0.00128753,0.00128753,0.00128753
7,1627.98,1.81783,2.80246,1.98888,0.21155,0.15032,0.11253,0.05338,2.4647,4.27847,2.90976,0.00125923,0.00125923,0.00125923
8,1881.09,1.78547,2.66984,1.96046,0.58595,0.14286,0.07951,0.02391,2.43187,5.10791,2.83418,0.00123094,0.00123094,0.00123094
9,2148.41,1.74722,2.54557,1.94424,0.27978,0.27272,0.17139,0.06647,2.20108,3.49188,2.6043,0.00120265,0.00120265,0.00120265
10,2406.65,1.74725,2.49398,1.91981,0.31187,0.25611,0.16084,0.05383,2.31632,3.08315,2.69201,0.00117435,0.00117435,0.00117435
11,2668.32,1.71605,2.49407,1.89695,0.1938,0.32304,0.16816,0.06492,2.25393,3.03739,2.66829,0.00114606,0.00114606,0.00114606
12,2908.56,1.69322,2.4711,1.91274,0.32943,0.25161,0.24401,0.10236,2.01756,2.91727,2.40331,0.00111776,0.00111776,0.00111776
13,3161.52,1.67425,2.39235,1.86538,0.58815,0.28879,0.32071,0.13924,2.11231,2.87424,2.57172,0.00108947,0.00108947,0.00108947
14,3386.39,1.69416,2.28542,1.86062,0.55722,0.30649,0.31549,0.1354,1.91276,2.96727,2.29959,0.00106118,0.00106118,0.00106118
15,3621.44,1.66219,2.25489,1.83653,0.47594,0.29073,0.30072,0.14589,1.89719,2.90753,2.33534,0.00103288,0.00103288,0.00103288
16,3838.76,1.62403,2.2511,1.81049,0.49825,0.28404,0.3266,0.14818,1.94951,2.52895,2.39425,0.00100459,0.00100459,0.00100459
17,4061.1,1.59447,2.1622,1.77041,0.47312,0.32367,0.30764,0.14537,1.91748,2.65195,2.29432,0.000976293,0.000976293,0.000976293
18,4290.73,1.56792,2.06834,1.72983,0.42552,0.36813,0.34333,0.17528,2.17681,2.55084,2.63169,0.000947999,0.000947999,0.000947999
