epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,221.87,1.87304,3.59822,2.0494,0.00657,0.70026,0.07969,0.02687,2.03717,4.34963,2.49216,0.000463798,0.000463798,0.000463798
2,430.434,1.85268,3.22989,2.03715,0.09462,0.03308,0.04743,0.01499,2.26653,4.2342,2.94226,0.000921517,0.000921517,0.000921517
3,688.173,1.82638,3.0664,2.04062,0.55381,0.08559,0.02921,0.00713,2.67629,8.7529,4.10482,0.00136037,0.00136037,0.00136037
4,899,1.88182,3.06231,2.08895,0.03933,0.08945,0.0223,0.00555,2.98122,5.31694,3.43336,0.00134412,0.00134412,0.00134412
5,1115.79,1.87053,2.98163,2.04947,0.12321,0.1879,0.05339,0.01343,2.58014,12.2756,3.3699,0.00131582,0.00131582,0.00131582
6,1328.66,1.89454,2.88681,2.06527,0.27991,0.15483,0.09046,0.03706,2.39353,4.34724,2.79156,0.00128753,0.00128753,0.00128753
7,1549.95,1.81783,2.80246,1.98888,0.21155,0.15032,0.11253,0.05338,2.4647,4.27847,2.90976,0.00125923,0.00125923,0.00125923
8,1760.26,1.78547,2.66984,1.96046,0.58595,0.14286,0.07951,0.02391,2.43187,5.10791,2.83418,0.00123094,0.00123094,0.00123094
9,1980.97,1.74722,2.54557,1.94424,0.27978,0.27272,0.17139,0.06647,2.20108,3.49188,2.6043,0.00120265,0.00120265,0.00120265
10,2196.62,1.74725,2.49398,1.91981,0.31187,0.25611,0.16084,0.05383,2.31632,3.08315,2.69201,0.00117435,0.00117435,0.00117435
11,2408.9,1.71605,2.49407,1.89695,0.1938,0.32304,0.16816,0.06492,2.25393,3.03739,2.66829,0.00114606,0.00114606,0.00114606
12,2622.51,1.69322,2.4711,1.91274,0.32943,0.25161,0.24401,0.10236,2.01756,2.91727,2.40331,0.00111776,0.00111776,0.00111776
13,2838.76,1.67425,2.39235,1.86538,0.58815,0.28879,0.32071,0.13924,2.11231,2.87424,2.57172,0.00108947,0.00108947,0.00108947
14,3062.9,1.69416,2.28542,1.86062,0.55722,0.30649,0.31549,0.1354,1.91276,2.96727,2.29959,0.00106118,0.00106118,0.00106118
15,3285.38,1.66219,2.25489,1.83653,0.47594,0.29073,0.30072,0.14589,1.89719,2.90753,2.33534,0.00103288,0.00103288,0.00103288
16,3505.59,1.62403,2.2511,1.81049,0.49825,0.28404,0.3266,0.14818,1.94951,2.52895,2.39425,0.00100459,0.00100459,0.00100459
17,3726.91,1.59447,2.1622,1.77041,0.47312,0.32367,0.30764,0.14537,1.91748,2.65195,2.29432,0.000976293,0.000976293,0.000976293
18,3960.21,1.56792,2.06834,1.72983,0.42552,0.36813,0.34333,0.17528,2.17681,2.55084,2.63169,0.000947999,0.000947999,0.000947999
19,4187.82,1.57999,2.08133,1.75871,0.52821,0.28108,0.32409,0.14068,2.0476,2.9005,2.41791,0.000919704,0.000919704,0.000919704
20,4437.46,1.59589,2.11401,1.77567,0.80902,0.32535,0.40206,0.21185,1.90025,2.41244,2.337,0.00089141,0.00089141,0.00089141
21,4667.91,1.5349,2.00441,1.72033,0.59496,0.43951,0.45729,0.23423,1.98783,2.59635,2.36957,0.000863116,0.000863116,0.000863116
22,4889.77,1.49354,1.92294,1.6787,0.68604,0.36544,0.43761,0.20112,1.88585,2.30911,2.32006,0.000834822,0.000834822,0.000834822
23,5126.71,1.52331,1.91616,1.72531,0.52145,0.46808,0.44855,0.20454,2.08483,2.32647,2.53196,0.000806528,0.000806528,0.000806528
24,5342.99,1.45798,1.91282,1.66902,0.46365,0.34402,0.38015,0.17916,1.96558,2.43755,2.49952,0.000778233,0.000778233,0.000778233
25,5558.88,1.43124,1.86156,1.62436,0.60553,0.38919,0.47921,0.2364,1.96886,2.21255,2.33344,0.000749939,0.000749939,0.000749939
26,5812.45,1.41009,1.8139,1.60928,0.61945,0.42153,0.47199,0.21382,1.92113,2.37422,2.30195,0.000721645,0.000721645,0.000721645
27,6044.67,1.41922,1.80592,1.62446,0.65713,0.43853,0.506,0.22667,1.91165,2.06742,2.24305,0.000693351,0.000693351,0.000693351
28,6251.4,1.41055,1.75146,1.61763,0.46324,0.48752,0.40506,0.19019,1.8512,2.32401,2.27264,0.000665057,0.000665057,0.000665057
29,6457.38,1.36668,1.72119,1.60169,0.80807,0.37043,0.48781,0.2523,1.80262,2.21422,2.19272,0.000636762,0.000636762,0.000636762
30,6670.34,1.34765,1.65293,1.57679,0.58749,0.473,0.52428,0.25395,1.80111,2.08507,2.18073,0.000608468,0.000608468,0.000608468
31,6886.87,1.38057,1.68599,1.58441,0.76667,0.55064,0.59495,0.27564,1.83029,1.97611,2.17892,0.000580174,0.000580174,0.000580174
32,7110.76,1.34402,1.59628,1.5611,0.58285,0.50335,0.51447,0.23516,1.96933,2.05528,2.33308,0.00055188,0.00055188,0.00055188
33,7318.22,1.33375,1.58653,1.55372,0.70459,0.45188,0.50839,0.26258,1.81319,2.02872,2.1712,0.000523586,0.000523586,0.000523586
34,7533.19,1.3168,1.5736,1.55394,0.69317,0.51918,0.53956,0.27199,1.90789,2.04922,2.28949,0.000495291,0.000495291,0.000495291
35,7751.54,1.30855,1.56965,1.5376,0.75324,0.45521,0.59257,0.28183,1.86658,1.83401,2.24847,0.000466997,0.000466997,0.000466997
36,7971.77,1.28063,1.48433,1.50528,0.61287,0.60424,0.62682,0.32609,1.72524,1.72008,2.11334,0.000438703,0.000438703,0.000438703
37,8182.64,1.23369,1.45024,1.47289,0.71419,0.44324,0.54108,0.2752,1.84193,1.92534,2.24212,0.000410409,0.000410409,0.000410409
38,8383.73,1.25536,1.44208,1.48494,0.63122,0.57046,0.59522,0.29257,1.73803,1.94623,2.16832,0.000382115,0.000382115,0.000382115
39,8594.97,1.25425,1.41069,1.48778,0.71884,0.51471,0.59979,0.30547,1.71336,1.9002,2.10524,0.00035382,0.00035382,0.00035382
40,8814.89,1.21203,1.4083,1.47117,0.69009,0.54896,0.59987,0.30187,1.74298,1.88735,2.16177,0.000325526,0.000325526,0.000325526
41,9032.55,1.19863,1.37275,1.58309,0.65278,0.54887,0.56484,0.28142,1.90847,2.01844,2.40981,0.000297232,0.000297232,0.000297232
42,9247,1.11899,1.22694,1.51849,0.52451,0.53017,0.52488,0.27193,1.74999,2.00605,2.2764,0.000268938,0.000268938,0.000268938
43,9451.83,1.0709,1.12799,1.47184,0.68896,0.53565,0.58166,0.30739,1.76481,1.89929,2.17711,0.000240644,0.000240644,0.000240644
44,9666.91,1.04761,1.10424,1.46701,0.82385,0.44763,0.5862,0.30001,1.71361,1.87246,2.13689,0.000212349,0.000212349,0.000212349
45,9870.43,1.02047,1.07254,1.4378,0.65476,0.59807,0.61176,0.31205,1.76431,1.93924,2.14897,0.000184055,0.000184055,0.000184055
46,10071.6,1.01082,1.03734,1.43436,0.7828,0.5417,0.60175,0.31027,1.75428,1.84865,2.17616,0.000155761,0.000155761,0.000155761
47,10281.7,0.97442,0.99507,1.40107,0.67042,0.55894,0.61957,0.3172,1.75689,1.79113,2.18559,0.000127467,0.000127467,0.000127467
48,10497.8,0.96421,0.95282,1.3955,0.7423,0.55252,0.60063,0.30792,1.74861,1.79735,2.21554,9.91726e-05,9.91726e-05,9.91726e-05
