epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.8603,2.13239,3.7963,2.10361,0.00301,0.33718,0.06853,0.04352,1.40701,4.26369,1.98054,5e-05,5e-05,5e-05
2,53.081,2.09736,3.69754,2.12196,0.00489,0.40861,0.17329,0.10621,1.41242,4.18984,1.83481,0.000110272,0.000110272,0.000110272
3,79.6165,2.12401,3.51614,2.10457,0.00797,0.44433,0.17349,0.12721,1.3588,4.07107,1.75883,0.00016807,0.00016807,0.00016807
4,105.318,2.00389,3.17589,2.06535,0.00925,0.52766,0.15215,0.11406,1.37097,4.02323,1.75159,0.000223392,0.000223392,0.000223392
5,130.976,1.85061,2.91901,1.94637,0.01018,0.56933,0.19095,0.14099,1.3347,4.05479,1.71992,0.00027624,0.00027624,0.00027624
6,157.404,1.91053,2.89738,1.99122,0.00877,0.56933,0.18956,0.14209,1.45234,3.94748,1.78246,0.000326613,0.000326613,0.000326613
7,184.24,2.08332,2.97883,2.07702,0.00659,0.56933,0.19869,0.12439,1.76667,3.8946,2.10582,0.00037451,0.00037451,0.00037451
8,209.743,1.9799,2.82807,1.95708,0.00564,0.56933,0.20361,0.13022,1.7443,3.9418,2.05099,0.000419932,0.000419932,0.000419932
9,234.999,1.9059,2.65455,1.87895,0.00417,0.42332,0.206,0.12126,1.81245,3.74109,2.13471,0.00046288,0.00046288,0.00046288
10,260.565,1.92255,2.63398,1.90617,0.00407,0.56303,0.24641,0.14417,1.73134,3.63995,2.00694,0.000503353,0.000503353,0.000503353
11,286.453,1.91368,2.68578,1.8875,0.00418,0.6257,0.25168,0.10073,2.00626,3.80295,2.12864,0.00054135,0.00054135,0.00054135
12,311.824,1.81611,2.46089,1.88781,1,0.07997,0.26002,0.12562,1.7181,3.54073,1.94661,0.000576873,0.000576873,0.000576873
13,337.371,1.64568,2.35626,1.72729,0.75,0.07692,0.2152,0.10714,1.68828,3.49998,1.92827,0.00060992,0.00060992,0.00060992
14,363.367,1.86859,2.51318,1.95295,0.72094,0.11765,0.22387,0.11928,1.72564,3.28391,1.98743,0.000640492,0.000640492,0.000640492
15,389.437,1.87346,2.36711,1.92489,0.77628,0.07037,0.24017,0.11414,1.91427,3.51179,2.14547,0.00066859,0.00066859,0.00066859
16,415.457,1.71465,2.46855,1.79942,0.75609,0.11938,0.21387,0.1167,1.90316,3.5149,2.15117,0.000694212,0.000694212,0.000694212
17,443.349,1.75479,2.34513,1.79045,0.73634,0.18135,0.21861,0.13384,1.76488,3.31819,2.06965,0.00071736,0.00071736,0.00071736
18,476.184,1.75298,2.39682,1.80287,0.78136,0.21421,0.25134,0.14256,1.70756,3.2198,2.03581,0.000738032,0.000738032,0.000738032
19,510.159,1.91133,2.37843,1.86406,0.50264,0.21814,0.24408,0.14608,1.68229,3.17759,1.95147,0.00075623,0.00075623,0.00075623
20,543.019,1.73972,2.26914,1.77714,0.76426,0.20343,0.25314,0.13442,1.86288,3.19781,2.07283,0.000771953,0.000771953,0.000771953
21,571.925,1.7164,2.30497,1.81714,0.4538,0.18873,0.19866,0.09999,1.95331,3.46144,2.18076,0.000755,0.000755,0.000755
22,600.592,1.76076,2.16275,1.76939,0.44316,0.19771,0.17991,0.07438,2.09627,3.72311,2.29543,0.00073025,0.00073025,0.00073025
23,630.817,1.71308,2.25897,1.78865,0.18228,0.19261,0.18017,0.06743,2.11707,3.68318,2.24607,0.0007055,0.0007055,0.0007055
